,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,1614148381,-34.4187,19.2345,64.99,93,21,6.87
1,Coquimbo,CL,1614148382,-29.9533,-71.3436,59.0,94,90,3.44
2,Key West,US,1614148383,24.5557,-81.7826,73.0,84,0,3.0
3,Busselton,AU,1614148383,-33.65,115.3333,82.0,53,76,4.0
4,Kahului,US,1614148384,20.8947,-156.47,73.4,68,20,16.11
5,Am Timan,TD,1614148385,11.0297,20.2827,77.11,17,89,13.33
6,Hirschaid,DE,1614148386,49.8194,10.9908,43.0,91,0,1.01
7,New Norfolk,AU,1614148387,-42.7826,147.0587,72.0,39,43,3.0
8,Geraldton,AU,1614148281,-28.7667,114.6,93.2,36,0,23.02
9,Tuatapere,NZ,1614148387,-46.1333,167.6833,55.99,97,100,7.0
10,Puerto Ayora,EC,1614148387,-0.7393,-90.3518,79.0,90,79,7.0
11,Bluff,NZ,1614148387,-46.6,168.3333,55.99,97,93,7.0
12,Finschhafen,PG,1614148388,-6.6024,147.8681,82.51,78,100,9.22
13,Narsaq,GL,1614148388,60.9167,-46.05,19.4,58,90,3.44
14,Batabanó,CU,1614148390,22.7164,-82.2881,69.8,94,20,4.61
15,Kamiiso,JP,1614148390,41.8167,140.65,21.2,79,75,16.11
16,Albany,US,1614148201,42.6001,-73.9662,39.99,76,12,3.0
17,Ushuaia,AR,1614148286,-54.8,-68.3,42.8,81,75,40.29
18,Dunedin,NZ,1614148391,-45.8742,170.5036,66.0,73,89,7.0
19,Rikitea,PF,1614148392,-23.1203,-134.9692,79.63,72,95,9.22
20,Severnoye,RU,1614148393,56.3491,78.3619,0.12,93,100,22.08
21,Hilo,US,1614148393,19.7297,-155.09,69.8,88,90,5.75
22,Tucumã,BR,1614148394,-0.1833,-50.05,74.95,93,100,4.25
23,Muzhi,RU,1614148394,65.3667,64.6667,-5.78,89,29,4.47
24,Severo-Kuril'sk,RU,1614148394,50.6789,156.125,28.15,71,100,23.2
25,Mugur-Aksy,RU,1614148395,50.35,90.5,17.13,84,45,8.05
26,Punta Arenas,CL,1614148395,-53.15,-70.9167,50.0,66,40,35.68
27,Rawson,AR,1614148396,-43.3002,-65.1023,64.45,45,0,15.46
28,Gunjur,GM,1614148397,13.2019,-16.7339,66.2,77,1,11.74
29,Saint-Joseph,RE,1614148398,-21.3667,55.6167,86.0,58,0,24.16
30,Gomel,BY,1614148398,52.4345,30.9754,19.4,93,90,8.95
31,Saint George,US,1614148388,37.1041,-113.5841,52.0,27,1,4.61
32,Faanui,PF,1614148399,-16.4833,-151.75,82.2,70,5,8.41
33,Cape Town,ZA,1614148176,-33.9258,18.4232,71.01,73,20,17.27
34,Castro,BR,1614148399,-24.7911,-50.0119,63.39,85,79,1.01
35,Lucapa,AO,1614148400,-8.4192,20.7447,69.62,88,95,2.93
36,Oddur,SO,1614148400,4.1213,43.8894,80.89,47,22,19.64
37,Guanambi,BR,1614148400,-14.2233,-42.7814,69.58,81,100,3.74
38,Hobart,AU,1614148400,-42.8794,147.3294,72.0,39,0,11.5
39,Mukhen,RU,1614148401,48.1,136.1,1.99,88,100,7.87
40,Barrow,US,1614148402,71.2906,-156.7887,-23.8,76,90,8.05
41,Qaanaaq,GL,1614148403,77.484,-69.3632,11.59,89,100,7.0
42,Gerāsh,IR,1614148404,27.6652,54.1371,66.2,52,0,4.61
43,Świdwin,PL,1614148405,53.7746,15.7767,44.01,90,100,1.99
44,São Filipe,CV,1614148405,14.8961,-24.4956,71.29,70,0,6.49
45,Paamiut,GL,1614148407,61.994,-49.6678,14.81,76,0,6.26
46,Vila Franca do Campo,PT,1614148407,37.7167,-25.4333,51.8,66,20,9.22
47,Ribeira Grande,PT,1614148408,38.5167,-28.7,53.31,63,43,19.69
48,Tommot,RU,1614148408,58.9564,126.2925,-4.14,85,100,1.9
49,Thompson,CA,1614148408,55.7435,-97.8558,-18.4,76,1,3.2
50,Airai,TL,1614148408,-8.9266,125.4092,65.82,91,100,3.06
51,Vardø,NO,1614148408,70.3705,31.1107,21.2,73,20,16.11
52,Saldanha,ZA,1614148409,-33.0117,17.9442,64.4,82,0,5.75
53,Norman Wells,CA,1614148409,65.282,-126.8329,-16.6,83,75,6.91
54,Mahébourg,MU,1614148409,-20.4081,57.7,84.2,61,75,11.5
55,Tuktoyaktuk,CA,1614148409,69.4541,-133.0374,-23.8,76,1,16.11
56,Nzega,RW,1614148411,-2.479,29.5564,65.16,82,96,2.04
57,Acapulco de Juárez,MX,1614148219,16.8634,-99.8901,73.6,69,0,3.96
58,San Felipe,VE,1614148411,10.3399,-68.7425,71.76,96,100,5.01
59,Hasaki,JP,1614148411,35.7333,140.8333,52.0,20,40,11.5
60,Arraial do Cabo,BR,1614148412,-22.9661,-42.0278,74.7,89,1,12.3
61,Santa Rosa,PH,1614148412,14.3122,121.1114,93.2,55,20,6.91
62,Mataura,NZ,1614148412,-46.1927,168.8643,55.99,97,100,7.0
63,San Ignacio,BZ,1614148412,17.1561,-89.0714,71.01,100,40,0.81
64,Yar-Sale,RU,1614148412,66.8333,70.8333,-8.52,90,86,9.6
65,Kapaa,US,1614148414,22.0752,-159.319,73.99,78,75,17.27
66,Deputatsky,RU,1614148414,69.3,139.9,-27.4,81,46,1.57
67,Honggang,CN,1614148414,46.4667,124.8667,16.14,89,100,8.21
68,Pangoa,PE,1614148416,-12.1167,-73.0,67.15,96,100,2.55
69,Lamar,US,1614148416,33.6668,-95.5836,62.6,59,1,14.97
70,Chimoré,BO,1614148418,-16.9833,-65.1333,75.43,94,61,0.58
71,Hengyang,CN,1614148419,26.8881,112.615,73.11,65,45,5.19
72,Dhidhdhoo,MV,1614148321,6.8833,73.1,82.24,66,22,5.75
73,Touros,BR,1614148421,-5.1989,-35.4608,78.8,83,40,4.61
74,Guánica,PR,1614148421,17.9716,-66.908,72.0,59,2,1.01
75,Mackay,AU,1614148382,-21.15,149.2,86.0,74,40,14.97
76,Kyren,RU,1614148423,51.6828,102.1408,21.06,83,41,0.74
77,Nikolskoye,RU,1614148424,59.7035,30.7861,15.8,86,90,8.95
78,Bulgan,MN,1614148424,48.8125,103.5347,23.09,88,5,2.51
79,Longyearbyen,SJ,1614148424,78.2186,15.6401,32.0,86,75,1.14
80,Takoradze,GH,1614148425,4.8845,-1.7554,78.75,84,50,5.19
81,Lamovita,BA,1614148426,44.9256,16.9072,32.0,100,0,2.3
82,Saint-André,RE,1614148426,-20.95,55.65,84.2,61,20,21.85
83,Ancud,CL,1614148426,-41.8697,-73.8203,55.4,82,0,9.22
84,Hong Kong,HK,1614148217,22.2855,114.1577,77.0,79,34,1.01
85,High Prairie,CA,1614148426,55.4334,-116.4858,24.8,74,99,9.22
86,Quang Ngai,VN,1614148287,15.1167,108.8,77.18,68,0,6.73
87,Khatanga,RU,1614148427,71.9667,102.5,-19.62,95,100,8.61
88,Bambous Virieux,MU,1614148427,-20.3428,57.7575,84.99,61,75,11.5
89,Jamestown,US,1614148427,42.097,-79.2353,33.01,93,1,8.05
90,Soroca,MD,1614148428,48.1558,28.2975,32.0,93,100,3.22
91,Bowen,AU,1614148428,-20.0167,148.2333,86.0,70,40,16.11
92,Taltal,CL,1614148428,-25.4,-70.4833,62.08,79,16,2.44
93,Tiksi,RU,1614148428,71.6872,128.8694,-26.19,94,1,5.86
94,Vostok,RU,1614148428,46.4856,135.8833,-0.78,91,100,8.41
95,Koutsouras,GR,1614148429,35.0339,25.9469,62.01,60,0,13.33
96,Oktyabr'skiy,RU,1614148429,54.4815,53.471,-13.56,91,99,17.18
97,Vaini,TO,1614148429,-21.2,-175.2,78.8,78,40,6.91
98,Sompeta,IN,1614148430,18.9333,84.6,86.79,30,14,9.01
99,Camaquã,BR,1614148430,-30.8511,-51.8122,61.88,86,0,1.66
100,Tasiilaq,GL,1614148430,65.6145,-37.6368,23.0,63,75,2.3
101,Bethel,US,1614148430,41.3712,-73.414,42.8,56,1,8.05
102,Chui,UY,1614148430,-33.6971,-53.4616,58.39,73,0,5.21
103,Lüderitz,NA,1614148431,-26.6481,15.1594,66.54,48,0,16.15
104,Bredasdorp,ZA,1614148431,-34.5322,20.0403,73.4,60,78,3.44
105,St. George's,GD,1614148431,12.0564,-61.7485,78.8,78,75,20.71
106,Vestmanna,FO,1614148432,62.1564,-7.1664,44.6,100,90,8.05
107,Cherskiy,RU,1614148392,68.75,161.3,-26.16,85,100,4.38
108,Katsuura,JP,1614148434,35.1333,140.3,55.0,25,40,10.36
109,Leningradskiy,RU,1614148435,69.3833,178.4167,-11.25,88,100,9.04
110,Pacific Grove,US,1614148430,36.6177,-121.9166,51.8,71,1,8.05
111,Saint Paul Harbor,US,1614148313,57.79,-152.4072,39.2,70,90,6.91
112,Torbay,CA,1614148435,47.6666,-52.7314,33.01,100,90,17.27
113,Biltine,TD,1614148437,14.5333,20.9167,70.41,21,0,23.02
114,Lehigh Acres,US,1614148437,26.6254,-81.6248,64.99,88,1,3.44
115,Te Anau,NZ,1614148438,-45.4167,167.7167,55.0,91,100,3.58
116,Gravdal,NO,1614148438,68.1214,13.5031,41.0,60,75,11.5
117,Morón,AR,1614148405,-34.6534,-58.6198,72.0,82,0,3.76
118,Lata,PT,1614148439,40.1629,-8.3327,48.99,86,84,6.31
119,Khovd,MN,1614148439,48.0056,91.6419,33.58,67,95,3.91
120,Pevek,RU,1614148439,69.7008,170.3133,-17.95,97,100,5.99
121,Tigbao,PH,1614148439,12.5546,123.3389,84.6,71,35,6.44
122,Flin Flon,CA,1614148441,54.7682,-101.865,-3.96,92,72,2.64
123,Saskylakh,RU,1614148441,71.9167,114.0833,-23.91,92,0,3.76
124,Soe,ID,1614148441,-9.8607,124.284,73.69,87,100,1.36
125,Saint-Philippe,RE,1614148441,-21.3585,55.7679,86.0,58,0,24.16
126,Catamayo,EC,1614148442,-3.9833,-79.35,62.56,93,100,4.32
127,Kholodnyy,RU,1614148443,62.7167,147.95,-17.46,79,7,3.04
128,Mogocha,RU,1614148443,53.7333,119.7667,3.58,88,100,0.51
129,Lala,PH,1614148443,7.9745,123.7458,85.35,76,89,2.06
130,Markova,UA,1614148444,48.6758,24.4138,30.2,100,94,2.24
131,Sirte,LY,1614148444,31.2089,16.5887,58.62,67,0,7.34
132,Sørland,NO,1614148445,67.667,12.6934,41.0,87,75,24.16
133,Grand Gaube,MU,1614148445,-20.0064,57.6608,84.99,66,100,10.0
134,Caravelas,BR,1614148447,-17.7125,-39.2481,75.4,85,100,5.35
135,Upernavik,GL,1614148447,72.7868,-56.1549,7.27,95,100,6.53
136,Hīt,IQ,1614148447,33.6416,42.8251,56.79,33,0,7.16
137,Cervo,ES,1614148449,43.6702,-7.4101,51.76,67,1,10.65
138,Richards Bay,ZA,1614148449,-28.783,32.0377,73.42,91,100,11.07
139,Beyneu,KZ,1614148449,45.3167,55.2,-5.04,82,100,26.26
140,Klaksvík,FO,1614148450,62.2266,-6.589,44.6,100,90,8.05
141,Isangel,VU,1614148450,-19.55,169.2667,86.0,70,20,11.5
142,Laas,IT,1614148450,46.6166,10.7002,33.8,93,0,8.05
143,Bengkulu,ID,1614148450,-3.8004,102.2655,84.49,65,100,10.36
144,Dawei,MM,1614148452,14.0833,98.2,88.72,51,100,10.51
145,Sillod,IN,1614148452,20.3,75.65,87.8,27,0,2.3
146,Koungou,YT,1614148452,-12.7336,45.2042,86.0,74,40,6.91
147,Alofi,NU,1614148453,-19.0595,-169.9187,77.0,94,100,2.3
148,Arrondissement de Verdun,FR,1614148454,49.25,5.3333,48.99,86,0,3.0
149,Naze,JP,1614148454,28.3667,129.4833,71.6,60,20,16.11
150,Atuona,PF,1614148454,-9.8,-139.0333,79.23,75,0,11.72
151,Nanortalik,GL,1614148454,60.1432,-45.2371,21.94,83,91,7.25
152,Petrykivka,UA,1614148455,48.7298,34.6351,14.0,67,0,8.95
153,Dikson,RU,1614148455,73.5069,80.5464,-6.72,92,100,8.08
154,Sitka,US,1614148455,57.0531,-135.33,35.6,87,90,5.75
155,East London,ZA,1614148456,-33.0153,27.9116,69.8,78,20,4.61
156,Port Elizabeth,ZA,1614148456,-33.918,25.5701,69.8,68,0,12.66
157,São João da Barra,BR,1614148456,-21.6403,-41.0511,73.27,92,0,5.32
158,Pahlgām,IN,1614148456,34.0333,75.3333,42.48,61,15,7.0
159,Sivas Province,TR,1614148457,39.7916,37.0019,15.8,92,20,2.3
160,Manacapuru,BR,1614148457,-3.2997,-60.6206,75.2,94,20,1.74
161,Esperance,AU,1614148457,-33.8667,121.9,91.4,21,0,11.5
162,Lukovetskiy,RU,1614148457,64.2956,41.9211,6.8,72,75,8.95
163,Port Blair,IN,1614148457,11.6667,92.75,84.42,51,0,8.86
164,Ilulissat,GL,1614148458,69.2167,-51.1,15.8,38,0,10.36
165,Stornoway,GB,1614148458,58.2093,-6.3865,48.2,87,75,32.21
166,Karaton,ID,1614148458,-6.3424,106.1045,84.2,70,40,13.8
167,Hörstel,DE,1614148458,52.3167,7.5833,51.01,81,0,5.75
168,Cabo San Lucas,MX,1614148323,22.8909,-109.9124,60.01,65,100,5.03
169,Hithadhoo,MV,1614148459,-0.6,73.0833,83.12,71,100,8.46
170,Fortuna,US,1614148459,40.5982,-124.1573,46.99,81,90,12.66
171,Seoul,KR,1614148400,37.5683,126.9778,50.0,13,0,6.91
172,Salāya,IN,1614148459,22.3167,69.6,81.81,39,0,9.4
173,Son La,VN,1614148454,21.3167,103.9,80.98,53,98,3.56
174,Cockburn Town,TC,1614148460,21.4612,-71.1419,76.98,79,6,17.83
175,Nara,JP,1614148460,34.6851,135.8049,50.0,27,40,10.36
176,Nelson Bay,AU,1614148460,-32.7167,152.15,72.0,88,90,8.05
177,Poum,NC,1614148461,-20.2333,164.0167,83.28,68,34,8.34
178,Mar del Plata,AR,1614148365,-38.0023,-57.5575,60.01,88,0,7.16
179,Broken Hill,AU,1614148428,-31.95,141.4333,75.2,19,1,16.11
180,Clyde River,CA,1614148191,70.4692,-68.5914,-4.0,77,90,19.57
181,Ternate,ID,1614148462,0.8,127.4,83.35,72,89,10.56
182,Mollendo,PE,1614148462,-17.0231,-72.0147,69.06,75,93,5.73
183,Marawi,PH,1614148462,7.9986,124.2928,84.0,78,29,5.01
184,Flagstaff,US,1614148462,35.1981,-111.6513,34.0,55,1,4.63
185,Ponta do Sol,PT,1614148463,32.6667,-17.1,60.01,82,25,1.99
186,Tezu,IN,1614148463,27.9167,96.1667,88.09,19,0,5.03
187,Khasan,RU,1614148463,42.4308,130.6434,27.43,80,2,5.91
188,Bairiki Village,KI,1614148463,1.3292,172.9752,82.4,78,75,10.36
189,Log,RU,1614148463,49.4844,43.8613,-4.72,74,0,10.22
190,Pangnirtung,CA,1614148464,66.1451,-65.7125,21.2,73,90,10.36
191,Pangai,TO,1614148464,-19.8,-174.35,80.6,89,40,10.36
192,Camocim,BR,1614148464,-2.9022,-40.8411,75.16,91,100,6.33
193,Kishorganj,BD,1614148280,24.4333,90.7667,88.23,24,0,3.24
194,Souillac,MU,1614148465,-20.5167,57.5167,84.2,61,75,11.5
195,Salalah,OM,1614148187,17.0151,54.0924,78.8,65,0,2.3
196,Wajid,SO,1614148465,3.8093,43.2471,84.29,42,87,16.71
197,Luancheng,CN,1614148465,37.8792,114.6517,41.0,48,100,4.47
198,Yellowknife,CA,1614148465,62.456,-114.3525,-9.0,77,40,3.44
199,Hualmay,PE,1614148466,-11.0964,-77.6139,70.21,74,39,5.37
200,Fuxin,CN,1614148466,42.0156,121.6589,36.99,64,0,9.55
201,Calamar,CO,1614148466,10.2511,-74.9146,78.8,89,40,9.22
202,Tromsø,NO,1614148466,69.6496,18.957,33.01,86,0,5.75
203,Beringovskiy,RU,1614148466,63.05,179.3167,-12.23,89,100,18.72
204,Somers Point,US,1614148467,39.3176,-74.5946,42.8,56,1,8.05
205,Province of Mantua,IT,1614148467,45.1667,10.7833,43.0,100,0,3.44
206,Isfana,KG,1614148467,39.8386,69.5306,39.2,81,90,15.66
207,Van Buren,US,1614148467,35.4368,-94.3483,55.0,62,1,4.61
208,Kulhudhuffushi,MV,1614148468,6.6221,73.07,82.11,66,10,5.01
209,Dingle,PH,1614148468,10.9995,122.6711,85.42,69,84,11.36
210,Itoman,JP,1614148468,26.1247,127.6694,75.2,60,20,11.5
211,Xinzhi,CN,1614148468,36.4989,111.7047,42.04,64,100,5.21
212,Carnarvon,AU,1614148469,-24.8667,113.6333,98.6,41,40,17.27
213,Alihe,CN,1614148469,50.5667,123.7167,8.37,84,100,5.01
214,Anshun,CN,1614148469,26.25,105.9333,66.56,65,39,18.9
215,Ostrovnoy,RU,1614148469,68.0531,39.5131,7.52,92,92,25.59
216,Nyrob,RU,1614148470,60.733,56.7202,-12.96,87,3,5.28
217,Barras,BR,1614148470,-4.2444,-42.2944,72.61,97,95,3.11
218,Kaitangata,NZ,1614148470,-46.2817,169.8464,63.0,70,100,15.01
219,General Roca,AR,1614148470,-39.0333,-67.5833,57.2,72,0,9.71
220,Tupiza,BO,1614148471,-21.45,-65.7167,56.26,82,53,3.91
221,Nome,US,1614148471,64.5011,-165.4064,5.0,61,75,6.91
222,Iqaluit,CA,1614148213,63.7506,-68.5145,21.2,86,90,18.41
223,Porto-Novo,BJ,1614148471,6.4965,2.6036,80.6,89,40,5.75
224,Cidreira,BR,1614148472,-30.1811,-50.2056,72.0,74,72,7.2
225,Mitsamiouli,KM,1614148472,-11.3847,43.2844,82.4,69,20,2.3
226,Yumen,CN,1614148472,40.2833,97.2,46.71,47,90,11.27
227,Acarí,PE,1614148473,-15.4311,-74.6158,71.73,62,98,1.52
228,Tessalit,ML,1614148473,20.1986,1.0114,58.23,32,0,12.8
229,Waingapu,ID,1614148473,-9.6567,120.2641,83.62,73,100,13.67
230,Bradford,GB,1614148474,53.7939,-1.7521,55.0,45,100,1.99
231,Sassandra,CI,1614148474,4.95,-6.0833,74.55,90,23,4.65
232,Montes Claros,BR,1614148398,-16.735,-43.8617,66.49,92,74,0.76
233,Panguipulli,CL,1614148474,-39.6333,-72.3333,50.0,87,23,2.3
234,Dayong,CN,1614148475,25.0209,118.2898,73.4,60,75,8.95
235,Harper,LR,1614148475,4.375,-7.7169,77.13,84,72,2.55
236,Talnakh,RU,1614148475,69.4865,88.3972,-26.64,81,24,5.06
237,Berezanka,UA,1614148476,46.8526,31.388,26.6,80,90,8.95
238,Departamento de Maldonado,UY,1614148476,-34.6667,-54.9167,57.2,94,0,3.44
239,Sfântu Gheorghe,RO,1614148476,45.8667,25.7833,39.99,82,52,0.38
240,Lorengau,PG,1614148476,-2.0226,147.2712,80.1,86,100,11.79
241,Avarua,CK,1614148477,-21.2078,-159.775,73.4,94,20,2.3
242,Kampot,KH,1614148477,10.6167,104.1833,84.2,69,40,8.05
243,Melipilla,CL,1614148444,-33.7,-71.2167,64.4,100,20,4.61
244,Diveyevo,RU,1614148478,55.0433,43.2418,-8.52,89,1,3.27
245,Winslow,US,1614148459,35.0242,-110.6974,46.99,26,1,11.5
246,Bang Saphan,TH,1614148478,11.2126,99.5117,87.8,58,0,5.75
247,Tsiroanomandidy,MG,1614148478,-18.7667,46.0333,77.97,65,0,5.35
248,Kindu,CD,1614148478,-2.95,25.95,71.17,95,100,3.83
249,Shimoda,JP,1614148479,34.6667,138.95,48.2,53,75,8.05
250,Ellisras,ZA,1614148479,-23.6649,27.7443,73.33,75,99,5.95
251,Sinjār,IQ,1614148469,36.3209,41.8754,48.9,49,0,6.44
252,George Town,MY,1614148429,5.4112,100.3354,93.2,55,20,10.36
253,Dragalina,RO,1614148480,44.4333,27.3167,35.01,88,39,1.99
254,Yekaterinoslavka,RU,1614148480,50.3734,129.1139,-4.38,88,38,4.76
255,Kismayo,SO,1614148480,-0.3582,42.5454,82.17,69,67,14.79
256,Chokurdakh,RU,1614148481,70.6333,147.9167,-28.5,85,100,7.43
257,San Patricio,US,1614148481,28.017,-97.5169,69.8,94,90,11.5
258,Manzanillo,CU,1614148481,20.3433,-77.1167,71.1,88,0,7.07
259,Malārd,IR,1614148481,35.6659,50.9767,46.4,65,20,11.5
260,Nouadhibou,MR,1614148482,20.931,-17.0347,64.4,72,0,16.11
261,Santa Cruz,MA,1614148482,30.4202,-9.5982,51.8,100,0,5.75
262,Suba,PH,1614148482,10.8438,121.0102,81.9,76,0,3.78
263,Tacuatí,PY,1614148482,-23.45,-56.5833,79.5,67,82,1.61
264,Sept-Îles,CA,1614148482,50.2001,-66.3821,26.6,100,90,3.56
265,Sokone,SN,1614148483,13.8833,-16.3667,77.0,33,0,6.91
266,Lebu,CL,1614148483,-37.6167,-73.65,56.53,86,5,16.53
267,Buraidah,SA,1614148483,26.326,43.975,53.6,94,0,9.22
268,Meulaboh,ID,1614148483,4.1363,96.1285,86.47,62,99,7.96
269,Aklavik,CA,1614148483,68.2191,-135.0107,-13.0,77,100,4.61
270,Road Town,VG,1614148315,18.4167,-64.6167,77.0,84,0,18.03
271,Abengourou,CI,1614148484,6.7297,-3.4964,71.6,92,60,0.76
272,Quatre Cocos,MU,1614148484,-20.2078,57.7625,84.99,61,75,11.5
273,Lagoa,PT,1614148484,39.05,-27.9833,52.59,68,0,19.8
274,Provideniya,RU,1614148484,64.3833,-173.3,3.2,85,90,22.37
275,Neuquén,AR,1614148485,-38.9516,-68.0591,57.2,72,0,6.4
276,Nebug,RU,1614148485,44.1714,39.0036,29.12,88,100,15.48
277,Sabang,ID,1614148485,5.8933,95.3214,81.23,72,61,7.9
278,Auki,SB,1614148485,-8.7676,160.7034,81.93,84,100,6.55
279,Ban Dung,TH,1614148486,17.699,103.2596,93.99,32,100,7.09
280,Shakawe,BW,1614148486,-18.3667,21.85,72.14,82,98,6.08
281,Kununurra,AU,1614148486,-15.7667,128.7333,93.2,47,75,6.91
282,Yining,CN,1614148486,29.0361,114.5636,66.76,76,98,1.32
283,Bafra,TR,1614148487,41.5678,35.9069,44.6,76,75,5.75
284,Atambua,ID,1614148487,-9.1061,124.8925,80.06,78,100,5.5
285,Mehamn,NO,1614148487,71.0357,27.8492,30.2,80,0,13.8
286,Codrington,AU,1614148487,-38.2667,141.9667,62.6,56,0,9.35
287,Okha,RU,1614148329,53.5739,142.9478,23.9,98,100,12.28
288,Pisco,PE,1614148488,-13.7,-76.2167,69.8,78,0,5.75
289,Puerto Escondido,MX,1614148488,15.85,-97.0667,75.2,88,1,5.77
290,Sukhumi,GE,1614148488,43.0033,41.0153,46.36,56,52,2.57
291,Llangefni,GB,1614148488,53.2556,-4.3106,48.2,100,75,24.16
292,Umm Kaddadah,SD,1614148489,13.6017,26.6876,65.19,25,0,21.32
293,Butaritari,KI,1614148489,3.0707,172.7902,81.5,81,24,17.56
294,Camabatela,AO,1614148489,-8.1881,15.375,65.08,100,100,2.77
295,Chu,KZ,1614148489,43.5983,73.7614,37.0,82,100,1.99
296,Olafsvik,IS,1614148490,64.8945,-23.7142,36.25,85,66,20.96
297,Labuhan,ID,1614148490,-6.8844,112.2051,78.71,87,100,14.58
298,Moen,NO,1614148217,69.1304,18.6123,23.0,80,0,1.14
